Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
FDX,196.45,Put,185,2020-08-21,10,1.08,1.18,1.27,1.22,3456,480,7.2,39.78%,N/A,2020-08-11
RCL,58.67,Call,63,2020-08-14,3,0.44,0.59,0.73,0.53,1344,187,7.19,90.36%,N/A,2020-08-11
SHOP,971.99,Call,1000,2020-09-18,38,55.2,56.5,57.8,56.6,1119,156,7.17,54.56%,N/A,2020-08-11
TDOC,183.75,Call,190,2020-08-14,3,2.3,3,3.7,2.53,1219,171,7.13,74.66%,N/A,2020-08-11
PENN,46.6,Call,65,2020-09-18,38,0.74,1,1.26,1.2,1201,170,7.06,95.22%,N/A,2020-08-11
ORCL,54.27,Put,53,2020-08-21,10,0.4,0.43,0.45,0.41,1175,167,7.04,25.80%,N/A,2020-08-11
GS,211.06,Call,230,2020-08-14,3,0,0.07,0.13,0.11,985,140,7.04,49.83%,N/A,2020-08-11
ZM,232.25,Put,227.5,2020-08-14,3,4.3,4.55,4.8,4.57,765,109,7.02,74.66%,N/A,2020-08-11
CCL,15.82,Put,16.5,2020-08-21,10,1.27,1.34,1.4,1.4,1072,153,7.01,96.47%,N/A,2020-08-11
MCHP,100.64,Put,95,2020-09-18,38,3,3.05,3.1,3.08,805,115,7,43.67%,N/A,2020-08-11
SDC,8.95,Put,15,2020-10-16,66,6.35,6.53,6.7,6.4,1273,182,6.99,111.90%,N/A,2020-08-11
PAAS,32.04,Call,33,2020-09-18,38,2.3,2.37,2.43,2.39,730,105,6.95,67.64%,N/A,2020-08-11
SPOT,253.72,Call,260,2020-08-14,3,2.55,2.7,2.85,2.55,1887,274,6.89,54.64%,N/A,2020-08-11
AMZN,3080.67,Put,2935,2020-08-14,3,5.35,6.13,6.9,7.25,1703,248,6.87,45.42%,N/A,2020-08-11
UBER,31.21,Call,31.5,2020-08-14,3,0.4,0.5,0.59,0.56,1458,213,6.85,61.20%,N/A,2020-08-11
WFC,25.32,Call,27,2020-09-25,45,0.8,0.83,0.86,0.82,960,141,6.81,40.96%,N/A,2020-08-11
AMZN,3080.67,Call,3125,2020-08-14,3,22.05,23.53,25,23,1366,202,6.76,36.83%,N/A,2020-08-11
C,53.76,Put,53,2020-08-14,3,0.41,0.45,0.49,0.52,4009,594,6.75,43.95%,N/A,2020-08-11
CVX,89.62,Put,84.5,2020-08-21,10,0.63,0.7,0.77,0.57,1450,216,6.71,39.62%,N/A,2020-08-11
GOLD,26.48,Call,26,2020-08-14,3,0.62,0.66,0.7,0.58,754,113,6.67,46.80%,N/A,2020-08-11
WORK,27.61,Put,25.5,2020-08-21,10,0.28,0.3,0.32,0.31,1399,210,6.66,59.67%,N/A,2020-08-11
NCLH,15.64,Put,16,2020-08-28,17,1.36,1.43,1.5,1.43,891,134,6.65,91.74%,N/A,2020-08-11
AAL,13.73,Put,14.5,2020-08-14,3,0.94,0.97,1,1.04,4524,681,6.64,112.93%,N/A,2020-08-11
DAL,29.64,Call,31,2020-08-28,17,1.1,1.15,1.2,1.13,7347,1110,6.62,65.89%,N/A,2020-08-11
BA,180.13,Put,180,2020-08-14,3,3.6,3.75,3.9,3.78,12667,1918,6.6,59.19%,N/A,2020-08-11
PLAY,15.95,Call,16.5,2020-08-14,3,0.3,0.35,0.4,0.35,2822,429,6.58,99.50%,N/A,2020-08-11
GOLD,26.48,Call,27,2020-08-14,3,0.25,0.28,0.3,0.27,1504,231,6.51,58.89%,N/A,2020-08-11
FHN,10.11,Call,10,2020-09-18,38,0.6,0.65,0.7,0.65,2206,340,6.49,45.35%,N/A,2020-08-11
AAPL,439.55,Call,620,2020-12-18,129,3.55,4.53,5.5,5.15,652,101,6.46,42.38%,N/A,2020-08-11
NVDA,434,Call,440,2020-08-14,3,5.15,5.38,5.6,5.3,4711,729,6.46,50.14%,N/A,2020-08-11
UAL,36.83,Call,40,2020-10-16,66,3.8,4,4.2,4.11,973,151,6.44,85.19%,N/A,2020-08-11
JNJ,146.97,Put,142,2020-08-14,3,0.12,0.17,0.22,0.23,1031,161,6.4,31.60%,N/A,2020-08-11
QCOM,108.83,Call,110,2020-08-14,3,1.18,1.65,2.13,1.4,11989,1874,6.4,48.62%,N/A,2020-08-11
FB,256.13,Call,265,2020-08-14,3,1.55,1.59,1.62,1.6,35593,5623,6.33,50.67%,N/A,2020-08-11
NCLH,15.64,Put,16,2020-08-14,3,0.71,0.76,0.82,0.78,1996,316,6.32,102.02%,N/A,2020-08-11
FB,256.13,Call,262.5,2020-08-14,3,1.9,2.05,2.19,2.07,13398,2122,6.31,48.58%,N/A,2020-08-11
DIS,130.49,Call,132,2020-08-21,10,1.67,1.78,1.88,1.78,2456,389,6.31,28.18%,N/A,2020-08-11
TMUS,113.59,Put,110,2020-09-18,38,2.13,2.29,2.44,1.87,3554,564,6.3,23.79%,N/A,2020-08-11
BA,180.13,Call,200,2020-08-14,3,0.55,0.59,0.62,0.58,35357,5618,6.29,84.65%,N/A,2020-08-11
V,197.77,Call,202.5,2020-08-14,3,0.56,0.63,0.69,0.59,16687,2657,6.28,30.15%,N/A,2020-08-11
CVE,5.05,Call,6,2021-01-15,157,0.45,0.55,0.65,0.64,5002,801,6.24,72.60%,N/A,2020-08-11
WYNN,88.29,Call,90,2020-08-14,3,1.5,1.85,2.2,1.93,5596,902,6.2,83.62%,N/A,2020-08-11
PFE,37.79,Put,36.5,2020-09-11,31,0.45,0.52,0.58,0.55,1250,202,6.19,25.23%,N/A,2020-08-11
ROKU,146.41,Call,148,2020-08-14,3,2.71,2.78,2.85,2.74,935,151,6.19,65.20%,N/A,2020-08-11
TSLA,1458,Call,1400,2020-08-14,3,20.25,20.4,20.55,19.99,6890,1118,6.16,61.95%,N/A,2020-08-11
CROX,38.03,Call,35,2020-09-18,38,4.3,4.55,4.8,4.62,2197,358,6.14,60.11%,N/A,2020-08-11
W,309.13,Call,320,2020-08-14,3,4.8,6,7.2,5.33,1131,185,6.11,86.26%,N/A,2020-08-11
